,0,,,
0,"0,0794817113",,,
1,"0,1035520619",,,
2,"0,0837200142",,,
3,"0,0852905662",,,
4,"0,0879713784",,,
5,"0,0865845152",,,
6,"0,0613893676",,,
7,"0,0696644005",,,
8,"0,0941066118",,,
9,"0,0852961714",,,
10,"0,080836856",,,
11,"0,0759634731",,,
12,"0,0727274369",,,
13,"0,0759290096",,,
14,"0,0820534459",,,
15,"0,0728989084",,,
16,"0,0675990321",,,
17,"0,0756955385",,,
18,"0,0714393186",,,
19,"0,0714879915",,,
20,"0,0705155628",,,
21,"0,0658803456",,,
22,"0,0666124091",,,
23,"0,0724775075",,,
24,"0,0806394785",,,
25,"0,0806741028",,,
26,"0,0821151417",,,
27,"0,0756421004",,,
28,"0,0748111556",,,
29,"0,0714512417",,,
30,"0,0708609678",,,
31,"0,073676344",,,
32,"0,0718222804",,,
33,"0,0646481947",,,
34,"0,0802410118",,,
35,"0,0853222393",,,
36,"0,0707936261",,,
37,"0,0735638967",,,
38,"0,0776009169",,,
39,"0,081617273",,,
40,"0,0847457151",,,
41,"0,0846142293",,,
42,"0,0861039143",,,
43,"0,0884969717",,,
44,"0,0875913753",,,
45,"0,0849101824",,,
46,"0,0773820677",,,
47,"0,0825342259",,,
48,"0,0804358801",,,
49,"0,0794697434",,,
50,"0,0810146852",,,
51,"0,0781883165",,,
52,"0,0758484418",,,
53,"0,0768121231",,,
54,"0,0744697277",,,
55,"0,0767355542",,,
56,"0,0794590821",,,
57,"0,0795311802",,,
58,"0,082687829",,,
59,"0,0789637704",,,
60,"0,0814177647",,,
61,"0,0766233438",,,
62,"0,0812933351",,,
63,"0,0777729752",,,
64,"0,0850600275",,,
65,"0,0787401229",,,
66,"0,0752791382",,,
67,"0,086224308",,,
68,"0,0888977872",,,
69,"0,0860170007",,,
70,"0,0931455526",,,
71,"0,0862874339",,,
72,"0,0876033148",,,
73,"0,0828097399",,,
74,"0,0884782821",,,
75,"0,0864372879",,,
76,"0,083439406",,,
77,"0,0858416991",,,
78,"0,0907902295",,,
79,"0,096391208",,,
80,"0,0944632781",,,
81,"0,0952510095",,,
82,"0,0955797905",,,
83,"0,0917258255",,,
84,"0,0884250787",,,
85,"0,0840552042",,,
86,"0,0922404591",,,
87,"0,0894736695",,,
88,"0,0827966488",,,
89,"0,0815246667",,,
90,"0,0864762569",,,
91,"0,0913021861",,,
92,"0,0949620297",,,
93,"0,092467068",,,
94,"0,0899705245",,,
95,"0,0876971132",,,
96,"0,0878145476",,,
97,"0,0931605656",,,
98,"0,0959775723",,,
99,"0,0962060864",,,
100,"0,0928359322",,,
101,"0,0916209744",,,
102,"0,0849788212",,,
103,"0,0824483292",,,
104,"0,0911624356",,,
105,"0,0900441268",,,
106,"0,0902900119",,,
107,"0,0864822095",,,
108,"0,0934628359",,,
109,"0,0927480143",,,
110,"0,0935528219",,,
111,"0,089982584",,,
112,"0,095657387",,,
113,"0,0937430589",,,
114,"0,0981028355",,,
115,"0,0913149255",,,
116,"0,0989872091",,,
117,"0,0990474325",,,
118,"0,0952703245",,,
119,"0,0954324684",,,
120,"0,0970638341",,,
121,"0,0924364476",,,
122,"0,0939594546",,,
123,"0,0981884606",,,
124,"0,0978522035",,,
125,"0,0865169808",,,
126,"0,0955938253",,,
127,"0,0978762788",,,
128,"0,0967677187",,,
129,"0,1002923972",,,
130,"0,0949696355",,,
131,"0,0956741695",,,
132,"0,0938810381",,,
133,"0,102462602",,,
134,"0,0972408452",,,
135,"0,0935053411",,,
136,"0,0956625624",,,
137,"0,1001952138",,,
138,"0,1021625087",,,
139,"0,1055104418",,,
140,"0,0965419965",,,
141,"0,104215588",,,
142,"0,1079712182",,,
143,"0,101937297",,,
144,"0,0980641487",,,
145,"0,1020613497",,,
146,"0,0994056891",,,
147,"0,1135997267",,,
148,"0,1057481799",,,
149,"0,1080901982",,,
150,"0,1111605118",,,
151,"0,1073841368",,,
152,"0,1087174168",,,
153,"0,1078920556",,,
154,"0,1063695911",,,
155,"0,1052761368",,,
156,"0,1059076012",,,
157,"0,0949284651",,,
158,"0,0989323376",,,
159,"0,1041835246",,,
160,"0,099920218",,,
161,"0,1081005315",,,
162,"0,1048632192",,,
163,"0,1000339578",,,
164,"0,1075021421",,,
165,"0,1114702706",,,
166,"0,1034314608",,,
167,"0,1101298661",,,
168,"0,1071216215",,,
169,"0,1123740282",,,
170,"0,1125720192",,,
171,"0,1097666366",,,
172,"0,1109561885",,,
173,"0,1100841336",,,
174,"0,1114115608",,,
175,"0,1031799156",,,
176,"0,1088770509",,,
177,"0,1127819223",,,
178,"0,1088337001",,,
179,"0,1128423311",,,
180,"0,1059994302",,,
181,"0,1054718024",,,
182,"0,1056106332",,,
183,"0,1043977846",,,
184,"0,1083702611",,,
185,"0,1151248663",,,
186,"0,1083840755",,,
187,"0,1023525824",,,
188,"0,1053217729",,,
189,"0,1067594521",,,
190,"0,1032227447",,,
191,"0,1109835581",,,
192,"0,1142752156",,,
193,"0,1104094696",,,
194,"0,1079339985",,,
195,"0,1096537284",,,
196,"0,1120186158",,,
197,"0,116332282",,,
198,"0,1101099289",,,
199,"0,1127375214",,,
200,"0,1137635997",,,
201,"0,1106793159",,,
202,"0,1163103346",,,
203,"0,1135209943",,,
204,"0,1174558101",,,
205,"0,1150980499",,,
206,"0,1141212093",,,
207,"0,1214810591",,,
208,"0,1116252403",,,
209,"0,1112496829",,,
210,"0,112179819",,,
211,"0,1134040054",,,
212,"0,1112145359",,,
213,"0,1062803768",,,
214,"0,1086539534",,,
215,"0,1125155812",,,
216,"0,118821238",,,
217,"0,116683575",,,
218,"0,113966566",,,
219,"0,1093238005",,,
220,"0,1096792147",,,
221,"0,1101438425",,,
222,"0,1178312963",,,
223,"0,1160540929",,,
224,"0,1132768665",,,
225,"0,1105067098",,,
226,"0,113950592",,,
227,"0,1176712663",,,
228,"0,1118995143",,,
229,"0,1192257442",,,
230,"0,1178101264",,,
231,"0,1096887018",,,
232,"0,1163436055",,,
233,"0,1144072076",,,
234,"0,1124731129",,,
235,"0,1138509202",,,
236,"0,1195912181",,,
237,"0,1138374883",,,
238,"0,1166058651",,,
239,"0,1174298094",,,
240,"0,111350751",,,
241,"0,1224844005",,,
242,"0,1169875674",,,
243,"0,1178227694",,,
244,"0,115928699",,,
245,"0,1216710403",,,
246,"0,1176247198",,,
247,"0,119249948",,,
248,"0,1137679561",,,
249,"0,1261439326",,,
250,"0,1312162505",,,
251,"0,1106411281",,,
252,"0,1157624442",,,
253,"0,1198750054",,,
254,"0,1189346884",,,
255,"0,1162721384",,,
256,"0,1207113072",,,
257,"0,1162254283",,,
258,"0,1064095968",,,
259,"0,1137347729",,,
260,"0,1197433236",,,
261,"0,1264186745",,,
262,"0,1137172212",,,
263,"0,1177560361",,,
264,"0,1176111152",,,
265,"0,1091100181",,,
266,"0,1111207106",,,
267,"0,114919484",,,
268,"0,1100607996",,,
269,"0,1183377356",,,
270,"0,1219005447",,,
271,"0,1184201868",,,
272,"0,1206193446",,,
273,"0,1250376959",,,
274,"0,1240876179",,,
275,"0,1255096534",,,
276,"0,123802016",,,
277,"0,1214114613",,,
278,"0,1287109592",,,
279,"0,1274027316",,,
280,"0,1221604307",,,
