,0
0,0.4227613043084306
1,0.44476158656324843
2,0.465571519975385
3,0.45943749295659375
4,0.4528361710769345
5,0.4507349032673291
6,0.45327308758427987
7,0.4496120590107101
8,0.43263261300842853
9,0.4247735530561631
10,0.4199396850442963
11,0.42225787808599463
12,0.42148359374925964
13,0.41962798961886627
14,0.41784508695108724
15,0.41703100594799253
16,0.4154729538741959
17,0.4113441506883973
18,0.40578440213123973
19,0.4038918531265729
20,0.40264743897634964
21,0.402742360194538
22,0.40090369657059494
23,0.3969575609099137
24,0.39119744902797937
25,0.3877059235949378
26,0.38616616845227475
27,0.3842449443001995
28,0.3794941685789133
29,0.3742578375723521
30,0.37028776911244776
31,0.3682476473191095
32,0.36616330888107296
33,0.36407259540576675
34,0.36129087013029887
35,0.3586178081218861
36,0.3570754711726268
37,0.35478878025074184
38,0.3524183716057353
39,0.3487946756143626
40,0.3446302665350245
41,0.3391368327369329
42,0.33386079148883707
43,0.3290389526941442
44,0.32325028385707105
45,0.3177651039046042
46,0.31310649613001174
47,0.3090298657663967
48,0.3057402823788428
49,0.3018460775108254
50,0.29913788323388196
51,0.29697903267528036
52,0.294688165412077
53,0.2931016320932785
54,0.29154904770741286
55,0.2901463265164194
56,0.28849619954713995
57,0.28768224377562396
58,0.28747984817168387
59,0.2870320294432248
60,0.28698423209595203
61,0.2862907603644007
62,0.28553232075136786
63,0.283335738167186
64,0.28031165975477856
65,0.27673780167089496
66,0.2737641931352733
67,0.2703444110593555
68,0.267308344378856
69,0.26459435953546906
70,0.26087140763678673
71,0.25769474551001337
72,0.255905181768966
73,0.25440825201740974
74,0.2533465690881381
75,0.2526672221586102
76,0.2526936467038175
77,0.2530883543459625
78,0.2535075333165411
79,0.2537088482593685
80,0.2537003966224958
81,0.2531569634450673
82,0.2528167552163559
83,0.25348333388774247
84,0.25246505458990653
85,0.25091652591627545
86,0.2489619172160459
87,0.2471311737350849
88,0.24607749267854515
89,0.2454408089442213
90,0.24369297327006084
91,0.2420816075565911
92,0.24044502912744578
93,0.23947091077455984
94,0.2385632266277994
95,0.2381080698256244
96,0.23765696341141898
97,0.23712451548453317
98,0.23629661856790396
99,0.2351619587205761
100,0.2349871561468513
101,0.2345649264364607
102,0.23376893431726373
103,0.23323865643027727
104,0.23249432733183112
105,0.23193593827381795
106,0.23171996822121813
107,0.23131467394132493
108,0.23106316928609918
109,0.23060947102695437
110,0.2302159721849906
111,0.23049757247133143
112,0.23121105027646024
113,0.23189762983349996
114,0.23175725381333234
115,0.2313724624459392
116,0.23114447576616173
117,0.23048295464732405
118,0.23047039723459872
119,0.22935709487046474
120,0.22879321831129903
121,0.22800125623893544
122,0.22718941955956737
123,0.22615806920513645
124,0.22468018418778643
125,0.22326548031685378
126,0.22206111815468363
127,0.22090244882221569
128,0.2197164989203328
129,0.2183819573549894
130,0.2170594332415176
131,0.21560295554642592
132,0.2145674088195347
133,0.21439385226569183
134,0.21468440242246592
135,0.21450663509399867
136,0.21390997576219095
137,0.21394909399048992
138,0.2140506909127736
139,0.21452357265141275
140,0.21484464266217063
141,0.21450195182887888
142,0.2141401896793917
143,0.21363239133557513
144,0.21282247008835817
145,0.2125968858209719
146,0.2118331161741094
147,0.21132314831673088
148,0.21057939180592777
149,0.21040986649360505
150,0.20973603014601575
151,0.2094458212892022
152,0.20942265109948438
153,0.2097281010051348
154,0.20871258626378406
155,0.2080991415201966
156,0.2076994249466344
157,0.20795383892631605
158,0.20813869256005604
159,0.2078399326653006
160,0.20750410727236127
161,0.20758965869549853
162,0.20720642611346327
163,0.20757260499184654
164,0.20765897438241052
165,0.20754691570740652
166,0.20743448738337963
167,0.20739046633206265
168,0.20806842454822266
169,0.20834748615982124
170,0.2086934663732345
171,0.20856065102615234
172,0.20882403134271804
173,0.2092862499109066
174,0.20980205126181461
175,0.21033790910768077
176,0.2103741323241961
177,0.21025742384552315
178,0.21056297392447
179,0.21125034639890433
180,0.21162725303543223
181,0.21193909577192574
182,0.21236158754624904
183,0.2122173042198705
184,0.21209721009716295
185,0.21251585544763366
186,0.21282475016191071
187,0.2130214823254596
188,0.21259043885861595
189,0.21230804262889102
190,0.21179064293681094
191,0.2121536639575406
192,0.21200298016166677
193,0.21176080202269662
194,0.21114949181132678
195,0.21109276564127558
196,0.21058839546193692
197,0.21064026763344332
198,0.21017936402751933
199,0.2093360679689289
200,0.20942208466039838
201,0.20920788537763607
202,0.20940460228931418
203,0.20917224932554504
204,0.20850895692287905
205,0.20751267448120192
206,0.2077856917055657
207,0.2075338084533868
208,0.20725748563245722
209,0.20710061642471192
210,0.20674204744933364
211,0.206920189123218
212,0.20713994734546134
213,0.20632245242440375
214,0.20565944221297694
215,0.20551465188113952
216,0.20565772610908428
217,0.20598244730608334
218,0.20651638297012165
219,0.20599827050468492
220,0.2056861591558799
221,0.20504020248171914
222,0.20438189599698303
223,0.20446812486296617
224,0.20351302443401448
225,0.20300272368747005
226,0.20304002596903287
227,0.20256299235575168
228,0.20242981803781818
229,0.20181279111897135
230,0.20169721512598454
231,0.20178016476153243
232,0.20115829504761076
233,0.20064195767590084
234,0.20027584720885766
235,0.20018257418696767
236,0.200447575903492
237,0.20027812919742385
238,0.20021287127485768
239,0.20046268661058547
240,0.20040509364037687
241,0.20059032288425477
242,0.20045125223517327
243,0.20026492137332438
244,0.1995325873268988
245,0.19929234441064028
246,0.19922537791456463
247,0.19879405079167367
248,0.1980944215378918
249,0.19846502201677946
250,0.19806460598569497
251,0.19803894919816967
252,0.19746988218972264
253,0.19677128929191035
254,0.1963308421177829
255,0.19576267864253194
256,0.1950857174252896
257,0.19450429358482035
258,0.19419466997956314
259,0.1943583007839067
260,0.19339613389433397
261,0.1933162201450729
262,0.19273426234452698
263,0.19266104786866142
264,0.19207418655362882
265,0.19163547437824768
266,0.1915617724173802
267,0.19167008979156638
