Raio1,Raio2,Dens1,Dens2,omega,mspp,mrpp,Particulas,R1/R2,Den1/Den2,Dx,Dy,Dz,Difusividade_radial,Difusividade_axial,Deff-radial/Deff-axial,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.002,7000,7000,3,0.2,0.06,25000,2,1,0.002600428,0.000989929,0.000304537,0.001795179,0.000304537,5.894783371,,(3)Var3    (L),-0.000716,0.000091,-7.87522,0.000000,-0.000897,-0.000534,-0.000358,0.000045,-0.000449,-0.000267,,(5)Var5    (L),0.000107,0.000011,9.74832,0.000000,0.000085,0.000129,0.000054,0.000005,0.000043,0.000065
0.004,0.002,7000,7000,3,0.6,0.02,25000,2,1,0.003352218,0.001442419,9.12E-05,0.002397319,9.12E-05,26.29088713,,(4)Var4    (L),0.000625,0.000091,6.88153,0.000000,0.000444,0.000807,0.000313,0.000045,0.000222,0.000403,,(6)Var6    (L),-0.000035,0.000011,-3.19836,0.002045,-0.000057,-0.000013,-0.000018,0.000005,-0.000029,-0.000007
0.004,0.004,3000,3000,1,0.2,0.06,3000,1,1,0.000615767,0.00028355,3.92E-05,0.000449658,3.92E-05,11.46040201,,(5)Var5    (L),0.000903,0.000091,9.93029,0.000000,0.000721,0.001084,0.000451,0.000045,0.000361,0.000542,,2L by 6L,0.000030,0.000012,2.56177,0.012478,0.000007,0.000053,0.000015,0.000006,0.000003,0.000026
0.004,0.004,3000,3000,1,0.6,0.02,3000,1,1,0.000743425,0.00032094,4.22E-05,0.000532182,4.22E-05,12.5981594,,(6)Var6    (L),0.000413,0.000091,4.54343,0.000023,0.000232,0.000594,0.000206,0.000045,0.000116,0.000297,,5L by 6L,-0.000024,0.000012,-2.07757,0.041267,-0.000047,-0.000001,-0.000012,0.000006,-0.000024,0.000000
0.004,0.004,3000,3000,3,0.2,0.02,3000,1,1,0.002809951,0.00115094,0.0001387,0.001980445,0.0001387,14.27865188,,2L by 3L,0.000242,0.000096,2.51424,0.014301,0.000050,0.000433,0.000121,0.000048,0.000025,0.000217,,,,,,,,,,,,
0.004,0.004,3000,3000,3,0.6,0.06,3000,1,1,0.002899598,0.001630564,0.000120645,0.002265081,0.000120645,18.7748276,,2L by 4L,-0.000207,0.000096,-2.15296,0.034873,-0.000399,-0.000015,-0.000103,0.000048,-0.000199,-0.000008,,,,,,,,,,,,
0.004,0.004,3000,7000,1,0.2,0.02,3000,1,0.428571429,0.000942279,0.000360283,6.00E-05,0.000651281,6.00E-05,10.85482802,,2L by 5L,0.000296,0.000096,3.07890,0.002996,0.000104,0.000488,0.000148,0.000048,0.000052,0.000244,,,,,,,,,,,,
0.004,0.004,3000,7000,1,0.6,0.06,3000,1,0.428571429,0.001847638,0.000935953,7.34E-05,0.001391795,7.34E-05,18.95199406,,2L by 6L,-0.000390,0.000096,-4.06023,0.000129,-0.000582,-0.000198,-0.000195,0.000048,-0.000291,-0.000099,,,,,,,,,,,,
0.004,0.004,3000,7000,3,0.2,0.06,3000,1,0.428571429,0.003494804,0.001281817,0.000171188,0.002388311,0.000171188,13.95139708,,5L by 6L,-0.000225,0.000096,-2.33618,0.022437,-0.000416,-0.000033,-0.000112,0.000048,-0.000208,-0.000016,,,,,,,,,,,,
0.004,0.004,3000,7000,3,0.6,0.02,3000,1,0.428571429,0.003004767,0.001830175,0.000158752,0.002417471,0.000158752,15.22793694,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.004,7000,3000,1,0.2,0.02,3000,1,2.333333333,0.000279026,0.000139008,1.90E-05,0.000209017,1.90E-05,10.97609393,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.004,7000,3000,1,0.6,0.06,3000,1,2.333333333,0.000263497,0.00014094,1.77E-05,0.000202218,1.77E-05,11.41468932,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.004,7000,3000,3,0.2,0.06,3000,1,2.333333333,0.001198316,0.000528321,7.62E-05,0.000863319,7.62E-05,11.33393144,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.004,7000,3000,3,0.6,0.02,3000,1,2.333333333,0.000810434,0.000453133,8.88E-05,0.000631784,8.88E-05,7.114269185,,,,,,,,,,,,,,,,,,,,,,,,
