1,0.1,0.3645
1,0.2,0.3026
1,0.3,0.2747
1,0.4,0.2562
1,0.5,0.2645
1,0.6,0.2375
1,0.7,0.2178
1,0.8,0.2092
1,0.9,0.2053
1,1,0.1666
0.1,1,0.1468
0.2,1,0.2015
0.3,1,0.2857
0.4,1,0.2671
0.5,1,0.3209
0.6,1,0.3261
0.7,1,0.2924
0.8,1,0.2274
0.9,1,0.1831
1,1,0.1666
1,1,0.168400618
1,0.428571429,0.114078956
1,2.333333333,0.206487101
1,1,0.112761978
1.6,1,0.162424572
0.625,1,0.128900253
1,0.4,0.329358982
1,1.6,0.217511688
1,2.5,0.303673126
1,0.625,0.434346829
1,1,0.126000702
0.428571429,1,0.113255649
0.428571429,0.428571429,0.303788571
0.428571429,2.333333333,0.290181054
0.428571429,1,0.169824872
2.333333333,1,0.136695817
2.333333333,0.428571429,0.217617713
2.333333333,2.333333333,0.300051354
2.333333333,1,0.115729182
1,1,0.13555378
1,0.428571429,0.219094589
1,2.333333333,0.201340717
1,1,0.190991633
0.4,1,0.11826533
2.5,1,0.145777888
